Country,Exchange_Rate_per_USD,Female_Literacy_Rate,Male_Literacy_Rate,Median_Age,Population_Below_Poverty_Line_percent,Public_Debt_percent_of_GDP,Real_GDP_Growth_Rate_percent,Real_GDP_per_Capita_USD,Total_Literacy_Rate,Total_Population,Unemployment_Rate_percent,Youth_Unemployment_Rate,Youth_Unemployment_Rate_percent,broadband_fixed_subscriptions_total,electricity_access_percent,internet_users_total,mobile_cellular_subscriptions_total
LAOS,9.0,10.3,53.3,24.0,18.3,63.6,2.53,7800.0,87.1,7852377.0,1.26,3.3,3.3,128000.0,100.0,4588000.0,4822973.0
LATVIA,0.845,23.7,50.3,44.4,22.9,36.3,4.07,32100.0,99.9,1821750.0,7.6,15.5,15.5,490569.0,100.0,1729000.0,2161725.0
LEBANON,1.0,28.9,47.5,33.7,27.4,146.8,-7.0,13000.0,95.1,5331203.0,14.49,29.6,29.6,432070.0,100.0,4872000.0,4300000.0
LESOTHO,14.779,5.4,43.1,24.7,49.7,33.7,1.35,2300.0,81.0,2210646.0,24.6,37.4,37.4,5060.0,50.0,1104000.0,1821374.0
LIBERIA,191.518,2.0,14.3,18.0,50.9,34.4,4.99,1400.0,48.3,5506280.0,4.09,3.2,3.2,13000.0,29.0,1768000.0,1700000.0
LIBYA,4.514,85.6,96.7,25.8,,4.7,31.37,22000.0,91.0,7252573.0,19.58,50.5,50.5,332000.0,70.0,3095400.0,2900000.0
LIECHTENSTEIN,0.914,8.8,9.4,43.7,16.0,20.91,4.22,71000.0,,39993.0,5.32,9.1,9.1,4028238.0,100.0,8352000.0,11060700.0
LITHUANIA,0.845,21.8,42.1,44.5,20.6,53.28,5.98,39300.0,99.8,2655755.0,7.9,19.0,19.0,796814.0,100.0,2436000.0,3726653.0
LUXEMBOURG,0.845,19.8,22.4,39.5,17.5,23.0,5.1,115700.0,,660924.0,5.23,15.2,15.2,235155.0,100.0,633600.0,880000.0
MACAU,8.006,6.6,11.7,40.8,,0.0,19.27,64800.0,97.1,639971.0,3.01,9.2,9.2,208000.0,100.0,607200.0,2800000.0
MADAGASCAR,3.0,12.8,42.7,20.3,70.7,36.0,4.4,1500.0,77.3,28812195.0,2.59,4.8,4.8,32000.0,35.0,5800000.0,16279633.0
MALAWI,749.527,4.1,17.5,16.8,51.5,44.89,2.75,1500.0,67.3,21279597.0,7.02,9.9,9.9,12255.0,14.0,4800000.0,11940135.0
MALAYSIA,4.143,1.1,43.8,29.2,5.6,62.03,3.09,26300.0,95.0,34219975.0,4.61,15.6,15.6,3358800.0,100.0,32979999.0,47201700.0
MALDIVES,15.373,6.0,44.4,29.5,8.2,63.9,41.75,18800.0,97.9,389568.0,6.08,17.7,17.7,63685.0,100.0,447200.0,706043.0
MALI,554.531,1.0,15.6,16.0,42.1,35.4,3.05,2100.0,35.5,21359722.0,7.72,17.3,17.3,243806.0,53.0,7480000.0,21882251.0
MALTA,0.845,21.6,26.4,42.3,17.1,50.7,10.3,44700.0,94.9,467138.0,3.5,9.8,9.8,213419.0,100.0,461100.0,644955.0
MARSHALL ISLANDS,,8.3,48.7,23.8,,41.71,1.11,6000.0,98.3,80966.0,36.0,26.0,26.0,1000.0,99.0,16254.0,16000.0
MAURITANIA,36.063,2.1,19.3,21.0,31.0,96.6,2.45,5300.0,67.0,4244878.0,11.46,23.0,23.0,18457.0,47.0,2714000.0,6512361.0
MAURITIUS,,3.0,37.3,36.3,,,,,92.2,1309448.0,,25.3,25.3,,,,
MEXICO,20.272,6.2,19.9,29.3,41.9,54.3,4.72,19100.0,95.2,129875529.0,4.38,8.1,8.1,21936131.0,100.0,98800000.0,123920752.0
"MICRONESIA, FEDERATED STATES OF",1.0,29.9,10.4,26.3,41.2,25.4,-3.19,3300.0,,100319.0,16.2,18.9,18.9,6000.0,83.0,44000.0,22000.0
MOLDOVA,17.68,6.2,51.7,37.7,7.3,33.01,13.94,14000.0,99.6,3250532.0,3.96,8.6,8.6,719001.0,100.0,1891000.0,3900179.0
MONACO,0.885,27.9,25.7,55.4,,,21.55,115700.0,,31597.0,2.0,26.6,26.6,20877.0,100.0,31820.0,36255.0
