Country,Exchange_Rate_per_USD,Female_Literacy_Rate,Male_Literacy_Rate,Median_Age,Population_Below_Poverty_Line_percent,Public_Debt_percent_of_GDP,Real_GDP_Growth_Rate_percent,Real_GDP_per_Capita_USD,Total_Literacy_Rate,Total_Population,Unemployment_Rate_percent,Youth_Unemployment_Rate,Youth_Unemployment_Rate_percent,broadband_fixed_subscriptions_total,electricity_access_percent,internet_users_total,mobile_cellular_subscriptions_total
ERITREA,15.075,0.2,14.7,20.3,50.0,131.2,5.0,1600.0,76.6,6274796.0,8.05,14.6,14.6,5000.0,52.0,792000.0,1800000.0
ESTONIA,0.845,23.0,36.3,43.7,21.7,23.77,8.01,38700.0,99.9,1202762.0,6.33,17.1,17.1,415610.0,100.0,1183000.0,1980838.0
ESWATINI,14.783,1.8,16.5,23.7,58.9,28.4,7.88,8900.0,88.4,1130043.0,25.76,50.9,50.9,12000.0,82.0,708000.0,1400000.0
ETHIOPIA,43.734,1.3,8.8,19.8,23.5,31.45,5.64,2300.0,51.8,116462712.0,3.69,5.7,5.7,212000.0,54.0,20400000.0,65000000.0
EUROPEAN UNION,0.885,20.4,18.9,44.0,9.8,86.8,5.39,44100.0,,,7.05,19.5,19.5,163772540.0,99.0,389063826.0,540557924.0
FALKLAND ISLANDS (ISLAS MALVINAS),0.7836,,,,,0.0,25.5,70800.0,,3662.0,1.0,,,1000.0,,3762.0,6000.0
FAROE ISLANDS,6.287,,,37.2,10.0,35.0,5.9,40000.0,,52600.0,2.2,,,18443.0,100.0,51728.0,59000.0
FIJI,2.071,10.5,35.6,29.9,29.9,48.9,-5.11,10400.0,99.1,947760.0,5.24,18.1,18.1,23062.0,92.0,500000.0,990000.0
FINLAND,0.845,16.3,26.9,42.8,12.2,61.3,2.1,49600.0,,5614571.0,7.53,18.1,18.1,1846000.0,100.0,5115000.0,7000000.0
FRANCE,0.85,26.7,28.6,46.3,13.6,123.0,6.8,45900.0,98.6,47222613.0,8.1,36.9,18.8,31520000.0,100.0,60421689.0,73830000.0
FRENCH POLYNESIA,100.88,43.9,35.4,33.3,19.7,,1.02,18600.0,,301488.0,14.39,38.9,38.9,64000.0,100.0,218100.0,322918.0
GABON,554.531,84.7,86.2,21.0,33.4,62.7,1.46,13800.0,85.5,2397368.0,22.26,38.4,38.4,44607.0,91.0,1656000.0,3144609.0
"GAMBIA, THE",51.484,0.8,21.4,21.8,48.6,88.0,4.27,2100.0,58.1,2468569.0,11.21,15.5,15.5,5000.0,63.0,858000.0,27000000.0
GAZA STRIP,,96.2,98.8,18.0,30.0,,7.05,5600.0,97.5,2098389.0,24.9,39.6,39.6,376911.0,100.0,3602452.0,4052966.0
GEORGIA,3.222,7.1,56.3,38.6,19.5,65.88,10.47,15500.0,99.6,4936390.0,10.66,28.3,28.3,986809.0,100.0,2888000.0,5163558.0
GERMANY,0.85,19.9,24.1,47.8,14.8,63.9,1.8,51200.0,,84220184.0,3.0,7.0,7.5,37736000.0,100.0,79127551.0,107200000.0
GHANA,5.806,0.3,6.6,21.4,23.4,71.8,5.36,5400.0,79.0,33846114.0,4.7,9.6,9.6,78371.0,86.0,22440000.0,40454073.0
GIBRALTAR,0.727,,,35.5,,7.5,,61700.0,,29629.0,1.0,,,21009.0,100.0,31152.0,34000.0
GREECE,0.845,30.5,36.5,45.3,17.9,252.29,8.43,29500.0,97.9,10497595.0,14.8,36.9,36.9,4257026.0,100.0,7800000.0,11494008.0
GREENLAND,6.287,100.0,100.0,34.3,16.2,13.0,0.36,41800.0,100.0,57777.0,9.1,,,15649.0,100.0,38920.0,66605.0
GRENADA,2.7,98.6,98.6,33.3,38.0,70.4,4.69,13700.0,98.6,114299.0,24.0,,,32000.0,93.0,93600.0,100000.0
GUAM,,16.1,14.7,29.4,23.0,22.1,1.06,35600.0,,169330.0,6.98,15.3,15.3,3000.0,100.0,136850.0,98000.0
GUATEMALA,7.734,1.6,20.1,23.2,59.3,31.56,7.98,8900.0,83.3,17980803.0,3.57,7.2,7.2,612000.0,97.0,9180000.0,22124839.0
GUERNSEY,0.7836,15.6,15.9,44.3,,,0.4,52500.0,,67642.0,7.37,15.8,15.8,25336.0,100.0,55069.0,71485.0
