Country,Area_Total,Coastline,Exports_billion_USD,Imports_billion_USD,Land_Boundaries,Population_Growth_Rate,Real_GDP_Growth_Rate_percent,Real_GDP_PPP_billion_USD,Total_Population,airports_paved_runways_count,airports_unpaved_runways_count,gas_pipelines_km,heliports_count,oil_pipelines_km,petroleum_bbl_per_day,railways_km,refined_petroleum_exports_bbl_per_day,refined_petroleum_imports_bbl_per_day,refined_petroleum_products_bbl_per_day,refined_products_pipelines_km,roadways_km,waterways_km
JORDAN,"89,342 sq km",26 km,13.86,23.39,"1,744 km",0.79,2.23,102.82,11086716.0,16.0,2.0,473.0,1.0,49.0,0.0,509.0,,68460.0,67240.0,,7203.0,
KAZAKHSTAN,"2,724,900 sq km",0 km,66.13,49.2,"13,364 km",0.73,4.3,496.13,19543464.0,63.0,33.0,15429.0,3.0,,1864900.0,16636.0,105900.0,39120.0,290700.0,,96167.0,43983.0
KENYA,"580,367 sq km",536 km,11.82,21.85,"3,457 km",2.09,7.52,251.43,57052004.0,16.0,181.0,,,1432.0,0.0,3819.0,173.0,90620.0,13960.0,,161452.0,
KIRIBATI,811 sq km,"1,143 km",10.75,201.98,0 km,1.02,1.5,249.64,115372.0,4.0,15.0,,,,0.0,,,420.0,,,670.0,5.0
"KOREA, NORTH","120,538 sq km","2,495 km",222.0,2.32,"1,607 km",0.44,-1.1,40.0,26072217.0,39.0,43.0,,23.0,,0.0,7435.0,0.0,8260.0,11270.0,,25554.0,2250.0
"KOREA, SOUTH","99,720 sq km","2,413 km",771.2,698.1,237 km,0.23,4.15,2289.0,51966948.0,71.0,40.0,3790.0,466.0,16.0,37400.0,3979.0,1.0,908800.0,3.0,,100428.0,1600.0
KOSOVO,"10,887 sq km",0 km,3.14,6.13,714 km,,10.75,21.23,1964327.0,3.0,3.0,,2.0,,,437.0,192.0,14040.0,,,2012.0,
KUWAIT,"17,818 sq km",499 km,77.12,48.95,475 km,1.13,-8.86,191.52,3103580.0,4.0,3.0,261.0,4.0,540.0,2720500.0,,705500.0,0.0,915800.0,,5749.0,
KYRGYZSTAN,"199,951 sq km",0 km,3.35,5.92,"4,573 km",0.82,3.61,32.22,6122781.0,18.0,10.0,4195.0,,,700.0,424.0,2290.0,34280.0,6996.0,,34000.0,576.0
LAOS,"236,800 sq km",0 km,7.82,6.53,"5,274 km",1.3,2.53,58.26,7852377.0,8.0,33.0,,,,0.0,422.0,,17460.0,,,39586.0,4600.0
LATVIA,"64,589 sq km",498 km,25.25,26.62,"1,370 km",1.13,4.07,60.46,1821750.0,18.0,24.0,1213.0,1.0,,1600.0,2216.0,16180.0,54370.0,,,70244.0,300.0
LEBANON,"10,400 sq km",225 km,10.15,17.38,484 km,0.64,-7.0,72.58,5331203.0,5.0,3.0,88.0,1.0,,0.0,401.0,,151100.0,,,21705.0,
LESOTHO,"30,355 sq km",0 km,1.08,2.22,"1,106 km",0.76,1.35,5.24,2210646.0,3.0,21.0,,,,0.0,,,5118.0,,,5940.0,
LIBERIA,"111,369 sq km",579 km,554.01,1.24,"1,667 km",2.71,4.99,7.39,5506280.0,2.0,27.0,,,,0.0,429.0,,8181.0,,,10600.0,
LIBYA,"1,759,540 sq km","1,770 km",9.54,14.33,"4,339 km",1.54,31.37,147.94,7252573.0,68.0,78.0,3743.0,2.0,7005.0,1252800.0,,16880.0,168200.0,89620.0,,37000.0,
LIECHTENSTEIN,160 sq km,0 km,571.38,480.52,75 km,0.7,4.22,618.23,39993.0,40.0,23.0,1800.0,2.0,94.0,300.0,5296.0,7345.0,165100.0,61550.0,,71557.0,1292.0
LITHUANIA,"65,300 sq km",90 km,53.4,50.38,"1,545 km",1.04,5.98,110.09,2655755.0,22.0,39.0,1921.0,,,4000.0,1911.0,174800.0,42490.0,196500.0,,84166.0,441.0
LUXEMBOURG,"2,586 sq km",0 km,177.83,148.15,327 km,1.58,5.1,74.05,660924.0,1.0,1.0,142.0,1.0,,0.0,271.0,,59020.0,,,2875.0,37.0
MACAU,28 sq km,41 km,26.62,22.79,3 km,0.71,19.27,44.49,639971.0,1.0,,,2.0,,0.0,,,14180.0,,,428.0,
MADAGASCAR,"587,041 sq km","4,828 km",3.34,4.77,0 km,2.22,4.4,42.32,28812195.0,26.0,57.0,,,,0.0,836.0,,18880.0,,,31640.0,600.0
MALAWI,"118,484 sq km",0 km,1.54,3.58,"2,857 km",2.28,2.75,29.66,21279597.0,7.0,25.0,,,,0.0,767.0,,4769.0,,,15452.0,700.0
MALAYSIA,"329,847 sq km","4,675 km",256.66,230.19,"2,742 km",1.01,3.09,884.11,34219975.0,39.0,75.0,6439.0,4.0,1937.0,593800.0,1851.0,208400.0,304600.0,528300.0,,144403.0,7200.0
MALDIVES,298 sq km,644 km,3.95,3.5,0 km,0.17,41.75,9.79,389568.0,7.0,2.0,,,,0.0,,,10840.0,,,93.0,
MALI,"1,240,192 sq km",0 km,5.2,6.34,"7,908 km",2.93,3.05,46.45,21359722.0,8.0,17.0,,2.0,,0.0,593.0,,20610.0,,,139107.0,1800.0
MALTA,316 sq km,196.8 km,22.11,21.36,0 km,0.59,10.3,23.16,467138.0,1.0,392.0,,2.0,,0.0,,10400.0,52290.0,,,3096.0,
MARSHALL ISLANDS,181 sq km,370.4 km,1.37,10.7,0 km,1.3,1.11,250.69,80966.0,4.0,11.0,,,,,,,2060.0,,,2028.0,
MAURITANIA,"1,030,700 sq km",754 km,3.18,4.31,"5,002 km",1.96,2.45,24.49,4244878.0,9.0,21.0,,,,0.0,728.0,,17290.0,,,12253.0,1086.0
MAURITIUS,"2,040 sq km",177 km,,,0 km,0.09,,,1309448.0,,,,,,,,,,,,,
MEXICO,"1,964,375 sq km","9,330 km",522.24,544.75,"4,389 km",0.61,4.72,2418.0,129875529.0,243.0,1471.0,17210.0,1.0,,1905500.0,23389.0,155800.0,867500.0,844600.0,,704884.0,2900.0
"MICRONESIA, FEDERATED STATES OF",702 sq km,"6,112 km",179.0,126.0,0 km,0.7,-3.19,375.06,100319.0,6.0,,,,,,,,,,,,
MOLDOVA,"33,851 sq km",0 km,4.2,7.92,"1,885 km",1.14,13.94,36.64,3250532.0,5.0,2.0,2026.0,,,0.0,1171.0,275.0,18160.0,232.0,,9352.0,558.0
MONACO,2 sq km,4.1 km,964.6,1.37,6 km,0.66,21.55,7.67,31597.0,,,,1.0,,,,,,,,,
MONGOLIA,"1,564,116 sq km",0 km,8.95,9.26,"8,082 km",0.83,1.64,39.06,3255468.0,15.0,29.0,,1.0,,16700.0,1815.0,,24190.0,,,113200.0,580.0
MONTENEGRO,"13,812 sq km",293.5 km,2.5,3.64,680 km,0.43,12.43,12.76,602445.0,5.0,621.0,,1.0,,0.0,250.0,357.0,6448.0,,,7762.0,
MONTSERRAT,102 sq km,40 km,,,0 km,0.46,,,5440.0,,,,,,,,,,,,,
MOROCCO,"716,550 sq km","2,945 km",47.08,60.05,"3,523.5 km",0.88,7.93,303.34,37067420.0,36.0,26.0,944.0,1.0,270.0,0.0,2067.0,9504.0,229300.0,66230.0,,57300.0,
MOZAMBIQUE,"799,380 sq km","2,470 km",6.4,10.39,"4,783 km",2.55,2.36,39.35,32513805.0,21.0,77.0,972.0,,,0.0,4787.0,,25130.0,,,31083.0,460.0
NAMIBIA,"824,292 sq km","1,572 km",,,"4,220 km",1.83,,,2727409.0,,,,,,,,,,,,,
NAURU,21 sq km,30 km,187.0,94.2,0 km,0.42,1.5,149.47,9852.0,1.0,6.0,,,,0.0,,,449.0,,,30.0,
NEPAL,"147,181 sq km",0 km,2.52,16.99,"3,159 km",0.74,4.25,115.09,30899443.0,11.0,36.0,,,,0.0,59.0,,26120.0,,,27990.0,
NETHERLANDS,"41,543 sq km",451 km,839.6,735.7,"1,053 km",0.36,4.86,992.67,17463930.0,23.0,6.0,14000.0,1.0,2500.0,76100.0,3055.0,2.0,,1.0,3000.0,139124.0,6237.0
NEW CALEDONIA,"18,575 sq km","2,254 km",1.92,2.26,0 km,1.17,2.0,10.27,300682.0,12.0,13.0,,8.0,,0.0,,,19100.0,,,5622.0,
NEW ZEALAND,"268,838 sq km","15,134 km",,,0 km,0.92,,,5223100.0,,,,,,,,,,,,,
NICARAGUA,"130,370 sq km",910 km,6.62,8.31,"1,253 km",0.91,10.34,38.63,6359689.0,12.0,135.0,,,54.0,200.0,,460.0,20120.0,14720.0,,23897.0,2220.0
