Country,Agricultural_Land,Area_Total,Irrigated_Land,Land_Area,Median_Age,Net_Migration_Rate,Population_Below_Poverty_Line_percent,Population_Growth_Rate,Public_Debt_percent_of_GDP,Real_GDP_Growth_Rate_percent,Real_GDP_per_Capita_USD,Total_Population,Unemployment_Rate_percent,Youth_Unemployment_Rate,airports_paved_runways_count,broadband_fixed_subscriptions_total,internet_users_total,mobile_cellular_subscriptions_total,railways_km,roadways_km
JORDAN,11.4,"89,342 sq km",833 sq km,"88,802 sq km",23.5,10.99,15.7,0.79,75.14,2.23,9200.0,11086716.0,19.25,40.5,16.0,630545.0,9130000.0,7275563.0,509.0,7203.0
KAZAKHSTAN,77.4,"2,724,900 sq km","18,099 sq km","2,699,700 sq km",31.6,0.39,4.3,0.73,26.63,4.3,26100.0,19543464.0,4.9,3.7,63.0,2620400.0,17290000.0,24323000.0,16636.0,96167.0
KENYA,48.1,"580,367 sq km","1,030 sq km","569,140 sq km",20.0,0.19,36.1,2.09,54.2,7.52,4700.0,57052004.0,5.74,13.8,16.0,674191.0,15370000.0,65085720.0,3819.0,161452.0
KIRIBATI,42.0,811 sq km,0 sq km,811 sq km,25.7,2.79,,1.02,26.3,1.5,1900.0,115372.0,30.6,22.5,4.0,185.0,70200.0,54527.0,,670.0
"KOREA, NORTH",21.8,"120,538 sq km","14,600 sq km","120,408 sq km",34.6,0.04,,0.44,,-1.1,1700.0,26072217.0,2.59,6.1,39.0,,,6000000.0,7435.0,25554.0
"KOREA, SOUTH",18.1,"99,720 sq km","7,780 sq km","96,920 sq km",43.2,2.61,14.4,0.23,46.43,4.15,44200.0,51966948.0,3.53,7.8,71.0,22327182.0,50960000.0,72855492.0,3979.0,100428.0
KOSOVO,52.8,"10,887 sq km",,"10,887 sq km",,,17.6,,21.2,10.75,11900.0,1964327.0,30.5,48.8,3.0,,1756300.0,1777859.0,437.0,2012.0
KUWAIT,8.5,"17,818 sq km",100 sq km,"17,818 sq km",29.7,4.07,,1.13,20.6,-8.86,43900.0,3103580.0,3.71,25.5,4.0,73948.0,4300000.0,6918180.0,,5749.0
KYRGYZSTAN,55.4,"199,951 sq km","10,043 sq km","191,801 sq km",27.3,4.83,20.1,0.82,72.23,3.61,4800.0,6122781.0,9.1,19.3,18.0,289000.0,5070000.0,8500000.0,424.0,34000.0
LAOS,10.6,"236,800 sq km","4,409 sq km","230,800 sq km",24.0,1.09,18.3,1.3,63.6,2.53,7800.0,7852377.0,1.26,3.3,8.0,128000.0,4588000.0,4822973.0,422.0,39586.0
LATVIA,29.2,"64,589 sq km",6 sq km,"62,249 sq km",44.4,5.06,22.9,1.13,36.3,4.07,32100.0,1821750.0,7.6,15.5,18.0,490569.0,1729000.0,2161725.0,2216.0,70244.0
LEBANON,63.3,"10,400 sq km","1,040 sq km","10,230 sq km",33.7,0.94,27.4,0.64,146.8,-7.0,13000.0,5331203.0,14.49,29.6,5.0,432070.0,4872000.0,4300000.0,401.0,21705.0
LESOTHO,76.1,"30,355 sq km",12 sq km,"30,355 sq km",24.7,4.52,49.7,0.76,33.7,1.35,2300.0,2210646.0,24.6,37.4,3.0,5060.0,1104000.0,1821374.0,,5940.0
LIBERIA,28.1,"111,369 sq km",30 sq km,"96,320 sq km",18.0,2.67,50.9,2.71,34.4,4.99,1400.0,5506280.0,4.09,3.2,2.0,13000.0,1768000.0,1700000.0,429.0,10600.0
LIBYA,8.8,"1,759,540 sq km","4,700 sq km","1,759,540 sq km",25.8,2.05,,1.54,4.7,31.37,22000.0,7252573.0,19.58,50.5,68.0,332000.0,3095400.0,2900000.0,,37000.0
LIECHTENSTEIN,37.6,160 sq km,0 sq km,160 sq km,43.7,4.78,16.0,0.7,20.91,4.22,71000.0,39993.0,5.32,9.1,40.0,4028238.0,8352000.0,11060700.0,5296.0,71557.0
LITHUANIA,44.8,"65,300 sq km",16 sq km,"62,680 sq km",44.5,4.34,20.6,1.04,53.28,5.98,39300.0,2655755.0,7.9,19.0,22.0,796814.0,2436000.0,3726653.0,1911.0,84166.0
LUXEMBOURG,50.7,"2,586 sq km",0 sq km,"2,586 sq km",39.5,11.39,17.5,1.58,23.0,5.1,115700.0,660924.0,5.23,15.2,1.0,235155.0,633600.0,880000.0,271.0,2875.0
MACAU,0.0,28 sq km,0 sq km,28.2 sq km,40.8,3.13,,0.71,0.0,19.27,64800.0,639971.0,3.01,9.2,1.0,208000.0,607200.0,2800000.0,,428.0
