Country,Exchange_Rate_per_USD,Median_Age,Population_Below_Poverty_Line_percent,Population_Growth_Rate,Real_GDP_Growth_Rate_percent,Real_GDP_per_Capita_USD,Total_Literacy_Rate,Total_Population,Unemployment_Rate_percent,Youth_Unemployment_Rate,broadband_fixed_subscriptions_total,electricity_access_percent,internet_users_total,mobile_cellular_subscriptions_total,roadways_km
MOROCCO,8.988,29.1,4.8,0.88,7.93,8100.0,75.9,37067420.0,11.47,27.2,2102434.0,100.0,32560000.0,52012000.0,57300.0
MOZAMBIQUE,65.465,17.0,46.1,2.55,2.36,1200.0,63.4,32513805.0,3.98,8.1,70000.0,31.0,5440000.0,13686234.0,31083.0
NAMIBIA,,22.5,,1.83,,,91.5,2727409.0,,43.4,,,,,
NAURU,1.331,27.0,,0.42,1.5,11900.0,,9852.0,23.0,26.6,950.0,100.0,10920.0,10000.0,30.0
NEPAL,118.134,25.3,25.2,0.74,4.25,3800.0,71.2,30899443.0,5.05,9.5,1270000.0,89.0,15600000.0,38000000.0,27990.0
NETHERLANDS,0.845,42.8,13.6,0.36,4.86,56600.0,,17463930.0,4.01,9.6,7525016.0,100.0,16559999.0,21888000.0,139124.0
NEW CALEDONIA,100.88,32.9,17.0,1.17,2.0,35700.0,96.9,300682.0,16.57,41.0,55000.0,100.0,237800.0,260000.0,5622.0
NEW ZEALAND,,37.2,,0.92,,,99.0,5223100.0,,9.2,,,,,
NICARAGUA,35.171,27.3,24.9,0.91,10.34,5600.0,82.6,6359689.0,5.96,11.6,290351.0,86.0,3933000.0,6233864.0,23897.0
NIGER,554.531,14.8,40.8,3.66,1.39,1200.0,37.3,25396840.0,0.75,1.0,12000.0,18.0,5500000.0,14000000.0,18949.0
NIGERIA,358.811,18.6,40.1,2.53,3.65,4900.0,62.0,230842743.0,9.79,19.6,65313.0,59.0,115500000.0,195128265.0,195000.0
NIUE,1.416,,,0.03,6.2,11100.0,,2000.0,12.0,,,,1512.0,,234.0
NORFOLK ISLAND,1.311,,,0.01,,,,1748.0,,,,,806.0,,80.0
NORTH MACEDONIA,52.102,39.0,21.6,0.11,3.96,16500.0,98.4,2133410.0,16.2,34.1,475569.0,100.0,1743000.0,1941352.0,14182.0
NORTHERN MARIANA ISLANDS,,32.8,,0.35,-11.14,24500.0,,51295.0,11.2,,,100.0,12299.0,20474.0,536.0
NORWAY,8.59,39.5,12.7,0.79,3.3,67500.0,,5597924.0,4.99,13.0,2387661.0,100.0,5346000.0,5800000.0,94902.0
OMAN,0.385,26.2,,1.8,3.09,34300.0,95.7,3833465.0,3.12,14.6,508949.0,100.0,4320000.0,6115537.0,60230.0
PAKISTAN,162.906,22.0,24.3,1.91,6.49,5200.0,58.0,247653551.0,4.35,9.4,2523027.0,94.0,48300000.0,188711452.0,264175.0
PALAU,1.0,33.9,24.9,0.39,-13.33,13800.0,96.6,21779.0,1.7,5.6,1224.0,100.0,6696.0,24000.0,125.0
PANAMA,1.0,30.1,22.1,1.51,15.34,29000.0,95.7,4404108.0,12.09,30.0,562413.0,95.0,2992000.0,6003255.0,
PAPUA NEW GUINEA,3.509,24.0,37.0,2.31,0.3,3700.0,64.2,9819350.0,2.75,5.3,21000.0,20.0,3168000.0,4800000.0,9349.0
PARAGUAY,6.0,29.7,23.5,1.12,4.1,13700.0,94.5,7439863.0,7.21,16.3,562369.0,100.0,5159000.0,7975074.0,78811.0
PERU,3.881,29.1,20.2,0.5,13.35,12500.0,94.5,32440172.0,4.83,11.2,3044000.0,95.0,24140000.0,43129394.0,18699.0
PHILIPPINES,49.255,25.7,16.7,1.58,5.7,8100.0,96.3,109035343.0,2.41,7.3,7936574.0,97.0,58300000.0,163345244.0,
PITCAIRN ISLANDS,1.416,,,0.0,,,,50.0,,,,,,,
POLAND,3.862,41.9,15.4,0.28,6.85,34900.0,99.8,37991766.0,3.37,13.4,8369218.0,100.0,32299999.0,50588785.0,420000.0
PORTUGAL,0.845,44.6,17.2,0.17,5.48,33700.0,95.9,10223150.0,6.65,23.1,4160795.0,100.0,8199999.0,12476165.0,82900.0
PUERTO RICO,,43.6,,1.29,0.21,32600.0,92.4,3057311.0,8.27,18.5,671284.0,100.0,2564100.0,3661176.0,26862.0
QATAR,3.64,33.7,,0.86,1.59,92900.0,93.5,2532104.0,0.26,1.1,296126.0,100.0,2700000.0,3876499.0,7039.0
ROMANIA,4.16,42.5,23.8,1.01,5.1,30800.0,98.9,18326327.0,5.17,20.6,5684782.0,100.0,15960000.0,22929000.0,84185.0
RUSSIA,73.654,40.3,12.6,0.24,4.75,28000.0,99.7,141698923.0,5.01,16.9,33893305.0,100.0,132000000.0,250000000.0,1283387.0
RWANDA,988.625,19.7,38.2,1.68,10.88,2200.0,75.9,13400541.0,1.61,2.9,17685.0,48.0,3900000.0,10902989.0,4700.0
SAINT BARTHELEMY,0.885,47.0,,0.11,,,,7093.0,,,,100.0,7077.0,,40.0
"SAINT HELENA, ASCENSION, AND TRISTAN DA CUNHA",0.7836,44.7,,0.11,,7800.0,,7935.0,14.0,,1000.0,100.0,2287.0,4000.0,198.0
SAINT KITTS AND NEVIS,2.7,38.1,,0.59,-0.88,26500.0,,54817.0,4.5,,30000.0,100.0,37920.0,57000.0,383.0
SAINT LUCIA,2.7,39.0,25.0,0.27,12.23,13000.0,,167591.0,16.91,38.7,33000.0,100.0,140400.0,170000.0,1210.0
SAINT MARTIN,0.885,34.0,,0.31,,19300.0,,32897.0,,,,100.0,19284.0,68840.0,
SAINT PIERRE AND MIQUELON,0.885,50.6,,1.19,,46200.0,,5195.0,8.7,,,,5099.0,,117.0
SAINT VINCENT AND THE GRENADINES,2.7,37.0,,0.16,1.35,13700.0,,100804.0,21.62,41.1,24733.0,100.0,85000.0,114892.0,
SAMOA,2.556,26.9,20.3,0.65,-7.08,5500.0,99.1,207501.0,9.84,19.7,1692.0,98.0,171600.0,69000.0,1150.0
SAN MARINO,0.845,45.9,,0.59,-6.65,56400.0,99.9,34892.0,8.1,27.4,11000.0,100.0,25500.0,40000.0,292.0
